isNitrate,Wavenumber,Processed
0,2368.35,2720
0,2371.26,2722
0,2374.17,2726
0,2377.07,2690
0,2379.98,2720
0,2382.88,2673
0,2385.78,2677
0,2388.67,2648
0,2391.57,2633
0,2394.46,2616
0,2397.35,2595
0,2400.24,2601
0,2403.12,2565
0,2406.01,2583
0,2408.89,2546
0,2411.77,2529
0,2414.64,2511
0,2417.52,2495
0,2420.39,2517
0,2423.26,2455
0,2426.13,2466
0,2428.99,2472
0,2431.86,2424
0,2434.72,2375
0,2437.58,2392
0,2440.43,2398
0,2443.29,2376
0,2446.14,2394
0,2448.99,2377
0,2451.84,2369
0,2454.68,2324
0,2457.53,2331
0,2460.37,2305
0,2463.21,2326
0,2466.05,2272
0,2468.88,2248
0,2471.71,2247
0,2474.54,2255
0,2477.37,2235
0,2480.2,2232
0,2483.02,2213
0,2485.84,2211
0,2488.66,2202
0,2491.48,2185
0,2494.3,2181
0,2497.11,2175
0,2499.92,2179
0,2502.73,2139
0,2505.54,2162
0,2508.34,2126
0,2511.14,2136
0,2513.94,2105
0,2516.74,2109
0,2519.54,2075
0,2522.33,2084
0,2525.12,2083
0,2527.91,2049
0,2530.7,2031
0,2533.48,2044
0,2536.26,2014
0,2539.04,1980
0,2541.82,1989
0,2544.6,1993
0,2547.37,1948
0,2550.14,1942
0,2552.91,1959
0,2555.68,1934
0,2558.45,1931
0,2561.21,1921
0,2563.97,1885
0,2566.73,1896
0,2569.49,1923
0,2572.24,1906
0,2574.99,1894
0,2577.75,1875
0,2580.49,1889
0,2583.24,1843
0,2585.98,1849
0,2588.73,1830
0,2591.46,1843
0,2594.2,1821
0,2596.94,1822
0,2599.67,1784
0,2602.4,1766
0,2605.13,1775
0,2607.86,1771
0,2610.58,1756
0,2613.3,1751
0,2616.03,1699
0,2618.74,1684
0,2621.46,1726
0,2624.17,1667
0,2626.89,1671
0,2629.6,1678
0,2632.3,1650
0,2635.01,1645
0,2637.71,1676
0,2640.41,1657
0,2643.11,1659
0,2645.81,1637
0,2648.5,1633
0,2651.2,1633
0,2653.89,1592
0,2656.58,1599
0,2659.26,1618
0,2661.95,1586
0,2664.63,1587
0,2667.31,1574
0,2669.99,1555
0,2672.66,1573
0,2675.34,1542
0,2678.01,1544
0,2680.68,1507
0,2683.35,1501
0,2686.01,1494
0,2688.67,1475
0,2691.34,1454
0,2693.99,1474
0,2696.65,1453
0,2699.31,1452
0,2701.96,1431
0,2704.61,1420
0,2707.26,1405
0,2709.9,1410
0,2712.55,1441
0,2715.19,1388
0,2717.83,1405
0,2720.47,1386
0,2723.11,1411
0,2725.74,1378
0,2728.37,1378
0,2731,1370
0,2733.63,1359
0,2736.25,1361
0,2738.88,1350
0,2741.5,1342
0,2744.12,1361
0,2746.74,1337
0,2749.35,1325
0,2751.96,1329
0,2754.57,1296
0,2757.18,1268
0,2759.79,1285
0,2762.39,1276
0,2765,1272
0,2767.6,1238
0,2770.2,1249
0,2772.79,1207
0,2775.39,1238
0,2777.98,1227
0,2780.57,1200
0,2783.16,1204
0,2785.74,1190
0,2788.33,1163
0,2790.91,1165
0,2793.49,1170
0,2796.07,1170
0,2798.64,1185
0,2801.22,1198
0,2803.79,1162
0,2806.36,1162
0,2808.93,1175
0,2811.49,1153
0,2814.06,1164
0,2816.62,1149
0,2819.18,1135
0,2821.74,1124
0,2824.29,1145
0,2826.84,1120
0,2829.4,1080
0,2831.94,1124
0,2834.49,1125
0,2837.04,1088
0,2839.58,1088
0,2842.12,1075
0,2844.66,1078
0,2847.2,1070
0,2849.73,1044
0,2852.27,1058
0,2854.8,1059
0,2857.33,1044
0,2859.85,1046
0,2862.38,1008
0,2864.9,1034
0,2867.42,1019
0,2869.94,998
0,2872.46,1023
0,2874.97,1012
0,2877.48,1004
0,2879.99,1006
0,2882.5,1000
0,2885.01,1004
0,2887.51,1016
0,2890.02,1006
0,2892.52,1011
0,2895.02,1003
0,2897.51,1012
0,2900.01,993
0,2902.5,989
0,2904.99,995
0,2907.48,970
0,2909.96,969
0,2912.45,970
0,2914.93,964
0,2917.41,977
0,2919.89,965
0,2922.37,964
0,2924.84,964
0,2927.31,940
0,2929.78,946
0,2932.25,957
0,2934.72,946
0,2937.18,915
0,2939.65,946
0,2942.11,934
0,2944.57,911
0,2947.02,913
0,2949.48,948
0,2951.93,917
0,2954.38,953
0,2956.83,945
0,2959.27,948
0,2961.72,944
0,2964.16,962
0,2966.6,969
0,2969.04,934
0,2971.48,949
0,2973.91,955
0,2976.35,957
0,2978.78,972
0,2981.2,970
0,2983.63,970
0,2986.06,983
0,2988.48,987
0,2990.9,977
0,2993.32,989
0,2995.74,974
0,2998.15,998
0,3000.56,993
0,3002.97,993
0,3005.38,997
0,3007.79,1008
0,3010.2,980
0,3012.6,995
0,3015,1004
0,3017.4,1012
0,3019.8,1027
0,3022.19,1010
0,3024.59,1044
0,3026.98,1024
0,3029.37,1023
0,3031.75,1057
0,3034.14,1053
0,3036.52,1071
0,3038.91,1086
0,3041.29,1081
0,3043.66,1090
0,3046.04,1103
0,3048.41,1116
0,3050.78,1118
0,3053.15,1141
0,3055.52,1168
0,3057.89,1172
0,3060.25,1185
0,3062.62,1192
0,3064.98,1187
0,3067.33,1223
0,3069.69,1215
0,3072.05,1211
0,3074.4,1242
0,3076.75,1243
0,3079.1,1238
0,3081.44,1238
0,3083.79,1249
0,3086.13,1253
0,3088.47,1264
0,3090.81,1263
0,3093.15,1258
0,3095.48,1304
0,3097.82,1312
0,3100.15,1296
0,3102.48,1327
0,3104.81,1356
0,3107.13,1335
0,3109.46,1360
0,3111.78,1373
0,3114.1,1395
0,3116.42,1391
0,3118.73,1393
0,3121.05,1439
0,3123.36,1452
0,3125.67,1456
0,3127.98,1480
0,3130.28,1467
0,3132.59,1500
0,3134.89,1507
0,3137.19,1523
0,3139.49,1536
0,3141.79,1513
0,3144.08,1540
0,3146.38,1572
0,3148.67,1576
0,3150.96,1604
0,3153.25,1604
0,3155.53,1619
0,3157.82,1604
0,3160.1,1650
0,3162.38,1657
0,3164.66,1646
0,3166.93,1668
0,3169.21,1648
0,3171.48,1658
0,3173.75,1686
0,3176.02,1714
0,3178.29,1718
0,3180.55,1724
0,3182.81,1772
0,3185.08,1781
0,3187.34,1763
0,3189.59,1823
0,3191.85,1852
0,3194.1,1851
0,3196.35,1918
0,3198.6,1921
0,3200.85,1948
0,3203.1,1966
0,3205.34,2020
0,3207.59,2020
0,3209.83,2120
0,3212.07,2102
0,3214.3,2147
0,3216.54,2187
0,3218.77,2223
0,3221,2259
0,3223.23,2276
0,3225.46,2307
0,3227.69,2349
0,3229.91,2358
0,3232.13,2362
0,3234.35,2400
0,3236.57,2398
0,3238.79,2426
0,3241,2462
0,3243.21,2473
0,3245.43,2495
0,3247.63,2485
0,3249.84,2492
0,3252.05,2498
0,3254.25,2492
0,3256.45,2510
0,3258.65,2514
0,3260.85,2540
0,3263.05,2502
0,3265.24,2521
0,3267.43,2514
0,3269.63,2506
0,3271.81,2567
0,3274,2534
0,3276.19,2561
0,3278.37,2542
0,3280.55,2510
0,3282.73,2567
0,3284.91,2584
0,3287.09,2567
0,3289.26,2551
0,3291.43,2554
0,3293.6,2565
0,3295.77,2546
0,3297.94,2506
0,3300.1,2508
0,3302.27,2483
0,3304.43,2485
0,3306.59,2470
0,3308.75,2392
0,3310.9,2409
0,3313.06,2367
0,3315.21,2331
0,3317.36,2280
0,3319.51,2276
0,3321.66,2210
0,3323.8,2189
0,3325.95,2157
0,3328.09,2138
0,3330.23,2114
0,3332.37,2091
0,3334.5,2025
0,3336.64,2004
0,3338.77,1969
0,3340.9,1949
0,3343.03,1938
0,3345.16,1916
0,3347.28,1913
0,3349.41,1921
0,3351.53,1889
0,3353.65,1842
0,3355.77,1849
0,3357.88,1806
0,3360,1807
0,3362.11,1754
0,3364.22,1712
0,3366.33,1696
0,3368.44,1688
0,3370.55,1606
0,3372.65,1580
0,3374.75,1543
0,3376.85,1469
0,3378.95,1435
0,3381.05,1390
